review_id,product_id,customer_id,rating,review_text,review_date
117,32,6,5,Excellent quality.,2024-10-19
118,8,20,5,Highly recommend.,2024-05-01
119,2,9,5,Highly recommend.,2024-11-10
120,45,34,4,Love it!,2024-05-25
121,48,9,5,Love it!,2025-03-11
122,16,2,3,Fair for the price.,2024-07-18
123,9,17,5,Will buy again.,2025-01-16
124,10,32,4,Worth every penny.,2024-03-29
125,64,37,3,Average quality.,2024-07-09
126,14,37,5,Excellent quality.,2024-06-25
127,1,3,5,Great product!,2024-07-04
128,6,31,4,Highly recommend.,2024-05-31
129,5,36,5,Fast shipping too.,2024-06-23
130,42,16,4,Worth every penny.,2024-07-17
131,10,37,4,Exceeded expectations.,2025-02-08
132,7,12,3,Meets expectations.,2024-03-24
133,52,5,5,Love it!,2025-04-01
134,40,21,2,Returned it.,2024-03-05
135,48,13,3,Could be better.,2025-03-14
136,32,30,4,Perfect fit.,2025-03-31
137,26,35,5,Very satisfied.,2024-05-17
138,1,27,1,Terrible.,2024-08-25
139,2,22,1,Very cheaply made.,2025-03-13
140,40,7,3,Not bad.,2024-10-01
141,63,4,5,Highly recommend.,2025-02-28
142,36,6,1,Broke after a week.,2024-11-22
143,53,24,4,Excellent quality.,2024-12-23
144,13,33,2,Very cheaply made.,2024-04-08
145,8,28,5,Highly recommend.,2024-06-30
146,38,17,5,Fast shipping too.,2025-02-22
147,42,21,4,Very satisfied.,2024-04-08
148,26,9,5,Will buy again.,2024-04-25
149,20,7,3,Nothing special.,2024-08-08
150,53,8,4,Very satisfied.,2024-10-18
